Date,Area Name,Electric,Plug-In Hybrid*,Hybrid,All Hybrids,Gas,Diesel,Electric: Difference,Plug-In Hybrid*: Difference,Hybrid: Difference,All Hybrids: Difference,Gas: Difference,Diesel: Difference,Year,Month
2018-10-01 00:00:00,Anson County,1,1,89,90,18536,1417,0,,-2,-1,43,-4,2018,10
2018-10-01 00:00:00,Avery County,9,4,109,113,15209,1520,1,0,1,1,60,6,2018,10
2018-10-01 00:00:00,Bertie County,,1,78,79,15647,1189,,0,0,0,14,14,2018,10
2018-10-01 00:00:00,Catawba County,63,71,1481,1552,130759,8964,4,3,20,23,366,64,2018,10
2018-10-01 00:00:00,Cherokee County,3,21,209,230,24244,1795,0,0,-1,-1,124,12,2018,10
2018-10-01 00:00:00,Clay County,3,8,149,157,9468,799,0,2,-3,-1,45,8,2018,10
2018-10-01 00:00:00,Franklin County,8,27,545,572,49146,2985,-2,4,5,9,125,16,2018,10
2018-10-01 00:00:00,Jones County,,3,43,46,8353,600,,0,2,2,88,11,2018,10
2018-10-01 00:00:00,Moore County,52,75,1632,1707,78107,9317,2,1,12,13,239,-1441,2018,10
2018-10-01 00:00:00,New Hanover County,134,129,2994,3123,149589,6438,9,4,19,23,1070,96,2018,10
2018-10-01 00:00:00,Onslow County,21,70,1435,1505,122189,6248,-3,3,7,10,869,72,2018,10
2018-10-01 00:00:00,Pamlico County,5,6,120,126,10592,810,1,0,-1,-1,126,11,2018,10
2018-10-01 00:00:00,Person County,7,9,312,321,36056,2170,0,0,3,3,133,3,2018,10
2018-10-01 00:00:00,Rowan County,32,60,1091,1151,110362,9029,2,3,9,12,215,29,2018,10
2018-10-01 00:00:00,Yancey County,5,4,211,215,17233,1515,0,0,-2,-2,67,13,2018,10
2019-08-01 00:00:00,Avery County,11,4,114,118,15666,1587,-1,0,1,1,-4,13,2019,08
2019-08-01 00:00:00,Guilford County,427,336,6937,7273,359226,20425,18,3,76,79,777,60,2019,08
2019-08-01 00:00:00,Harnett County,45,71,1019,1090,91587,5443,1,-1,22,21,367,10,2019,08
2019-08-01 00:00:00,Haywood County,37,46,662,708,53034,4008,0,-3,6,3,288,13,2019,08
2019-08-01 00:00:00,Hoke County,8,18,381,399,37814,1972,-1,-1,10,9,114,25,2019,08
2019-08-01 00:00:00,Hyde County,4,,21,21,3682,503,-1,,1,1,-2,1,2019,08
2019-08-01 00:00:00,Jackson County,14,31,407,438,29848,2525,2,-2,-6,-8,85,24,2019,08
2019-08-01 00:00:00,Lincoln County,46,61,782,843,72365,5134,1,1,-4,-3,205,44,2019,08
2019-08-01 00:00:00,Mecklenburg County,1582,1091,14749,15840,729750,31325,77,19,34,53,1997,146,2019,08
2019-08-01 00:00:00,Montgomery County,8,9,194,203,22842,1622,2,0,2,2,137,24,2019,08
2019-08-01 00:00:00,Nash County,25,23,606,629,76732,5204,3,-2,5,3,323,23,2019,08
2019-08-01 00:00:00,Rockingham County,13,37,600,637,77792,4751,-1,1,-4,-3,282,22,2019,08
2019-08-01 00:00:00,Stanly County,16,28,365,393,53096,4411,3,0,5,5,90,5,2019,08
2019-08-01 00:00:00,Wake County,2884,1683,21699,23382,779767,32822,72,11,140,151,2275,136,2019,08
2020-03-01 00:00:00,Alexander County,8,24,302,326,34291,2714,0,-1,5,4,59,-30,2020,03
2020-03-01 00:00:00,Burke County,33,35,722,757,74098,4376,2,-1,3,2,115,1,2020,03
2020-03-01 00:00:00,Catawba County,93,99,1603,1702,137978,9388,-2,1,13,14,405,10,2020,03
2020-03-01 00:00:00,Clay County,3,13,177,190,10002,825,0,0,7,7,-25,-3,2020,03
2020-03-01 00:00:00,Cleveland County,23,22,611,633,82456,5132,2,-1,14,13,365,6,2020,03
2020-03-01 00:00:00,Gaston County,124,97,1719,1816,161883,8629,5,-2,9,7,510,125,2020,03
2020-03-01 00:00:00,Greene County,1,2,119,121,14958,1081,0,0,6,6,13,-4,2020,03
2020-03-01 00:00:00,Hertford County,1,2,92,94,17035,1301,0,0,3,3,61,-8,2020,03
2020-03-01 00:00:00,Jackson County,14,33,438,471,29983,2562,1,-1,1,0,-25,-17,2020,03
2020-03-01 00:00:00,New Hanover County,295,180,3211,3391,157161,7100,12,5,19,24,131,53,2020,03
2020-03-01 00:00:00,Orange County,680,422,5219,5641,92167,3914,11,-1,30,29,-59,10,2020,03
2020-03-01 00:00:00,Tyrrell County,,1,25,26,2796,285,,0,-2,-2,5,-1,2020,03
2020-03-01 00:00:00,Washington County,1,2,54,56,9264,628,0,0,0,0,20,-10,2020,03
2020-03-01 00:00:00,Yancey County,8,17,231,248,17860,1582,1,0,3,3,7,-22,2020,03
2020-08-01 00:00:00,Alleghany County,4,5,90,95,10598,1305,0,2,-3,-1,40,13,2020,08
2020-08-01 00:00:00,Anson County,2,1,82,83,18592,1441,-1,0,-1,-1,11,18,2020,08
2020-08-01 00:00:00,Burke County,36,39,709,748,73246,4408,2,1,10,11,-129,4,2020,08
2020-08-01 00:00:00,Cabarrus County,290,137,2304,2441,157604,8909,3,-4,22,18,42,92,2020,08
2020-08-01 00:00:00,Cleveland County,25,22,616,638,81268,5180,1,3,-1,2,-95,23,2020,08
2020-08-01 00:00:00,Currituck County,17,10,301,311,24125,2249,0,1,4,5,-1,-14,2020,08
2020-08-01 00:00:00,Greene County,2,2,121,123,14704,1093,0,0,1,1,-8,12,2020,08
2020-08-01 00:00:00,Haywood County,47,49,689,738,53179,4078,2,0,1,1,50,39,2020,08
2020-08-01 00:00:00,Johnston County,132,127,1958,2085,153894,9469,6,-1,31,30,57,41,2020,08
2020-08-01 00:00:00,Lincoln County,69,65,777,842,71688,5259,1,1,8,9,-355,18,2020,08
2020-08-01 00:00:00,Moore County,112,95,1681,1776,81377,11755,4,3,3,6,99,14,2020,08
2020-08-01 00:00:00,Perquimans County,3,9,138,147,11151,916,0,0,0,0,25,9,2020,08
2020-08-01 00:00:00,Vance County,15,14,263,277,34630,1703,0,1,2,3,37,-4,2020,08
2020-08-01 00:00:00,Wilkes County,14,14,579,593,61440,4721,0,0,-3,-3,-133,-10,2020,08
2019-07-01 00:00:00,Alleghany County,2,4,92,96,10744,1280,0,0,-5,-5,33,13,2019,07
2019-07-01 00:00:00,Caldwell County,25,28,584,612,70858,4659,2,1,5,6,45,-4,2019,07
2019-07-01 00:00:00,Clay County,4,11,167,178,9892,832,0,0,6,6,74,3,2019,07
2019-07-01 00:00:00,Cumberland County,97,163,2537,2700,212562,8828,0,7,-1,6,-153,6,2019,07
2019-07-01 00:00:00,Graham County,,2,43,45,6905,894,,0,1,1,45,0,2019,07
2019-07-01 00:00:00,Hertford County,1,2,83,85,16920,1377,0,0,3,3,67,12,2019,07
2019-07-01 00:00:00,Jones County,1,3,53,56,8501,636,0,0,1,1,7,2,2019,07
2019-07-01 00:00:00,Lee County,23,27,629,656,46798,2697,-2,0,-8,-8,67,20,2019,07
2019-07-01 00:00:00,McDowell County,12,18,328,346,39671,2491,0,1,3,4,42,2,2019,07
2019-07-01 00:00:00,Mitchell County,5,5,129,134,14566,1148,0,0,5,5,2,26,2019,07
2019-07-01 00:00:00,Rowan County,38,74,1141,1215,113253,9607,3,-3,17,14,204,52,2019,07
2019-07-01 00:00:00,Stokes County,6,15,362,377,43958,3116,0,0,5,5,178,4,2019,07
2019-07-01 00:00:00,Wake County,2812,1672,21559,23231,777492,32686,135,32,68,100,81,87,2019,07
2019-07-01 00:00:00,Washington County,,1,50,51,9235,626,,0,-3,-3,33,4,2019,07
2019-03-01 00:00:00,Burke County,23,32,655,687,72106,4221,0,0,17,17,928,49,2019,03
2019-03-01 00:00:00,Catawba County,66,84,1518,1602,134078,9152,2,6,17,23,1866,152,2019,03
