"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","Habitat Comment"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Pender","Historical","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","New Hanover","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Moore","Historical","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Hoke","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Brunswick","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Onslow","Historical","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Scotland","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Richmond","Historical","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Jones","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Craven","Current","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes alternata","Dusky Roadside-Skipper","SR","none","S2","G2G3","Cumberland","Historical","open pine woods, savannas; host plants -- unknown, but presumably grasses"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Gates","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Wake","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Franklin","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","New Hanover","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Moore","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Beaufort","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Martin","Historical","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Pitt","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Wayne","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Hoke","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Johnston","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Brunswick","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Bladen","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Onslow","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Sampson","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Carteret","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Scotland","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Richmond","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Jones","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Craven","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Cumberland","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Hyde","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Gaston","Historical","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Dare","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Lincoln","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Washington","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Bertie","Historical","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Halifax","Current","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes carolina","Carolina Roadside-Skipper","W2","none","S3S4","G3G4","Pasquotank","Historical","moist woods (mainly hardwoods) near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Franklin","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Pender","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Moore","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Beaufort","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Martin","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
