Category: All categories

Week,NFT: (Worldwide),chatGPT: (Worldwide)
2021-04-18,5,0
2021-04-25,8,0
2021-05-02,5,0
2021-05-09,4,0
2021-05-16,4,0
2021-05-23,4,0
2021-05-30,3,0
2021-06-06,3,0
2021-06-13,3,0
2021-06-20,3,0
2021-06-27,2,0
2021-07-04,2,0
2021-07-11,3,0
2021-07-18,3,0
2021-07-25,3,0
2021-08-01,4,0
2021-08-08,5,0
2021-08-15,5,0
2021-08-22,9,0
2021-08-29,11,0
2021-09-05,9,0
2021-09-12,7,0
2021-09-19,7,<1
2021-09-26,7,0
2021-10-03,8,<1
2021-10-10,10,0
2021-10-17,10,0
2021-10-24,12,0
2021-10-31,15,0
2021-11-07,17,0
2021-11-14,17,0
2021-11-21,16,0
2021-11-28,19,0
2021-12-05,19,0
2021-12-12,23,0
2021-12-19,23,0
2021-12-26,23,0
2022-01-02,31,0
2022-01-09,35,<1
2022-01-16,39,0
2022-01-23,39,0
2022-01-30,34,0
2022-02-06,31,0
2022-02-13,26,<1
2022-02-20,22,0
2022-02-27,17,0
2022-03-06,16,<1
2022-03-13,16,0
2022-03-20,15,0
2022-03-27,16,0
2022-04-03,16,0
2022-04-10,17,0
2022-04-17,15,0
2022-04-24,14,<1
2022-05-01,14,0
2022-05-08,14,0
2022-05-15,12,0
2022-05-22,10,0
2022-05-29,9,0
2022-06-05,9,0
2022-06-12,9,0
2022-06-19,8,0
2022-06-26,7,0
2022-07-03,7,<1
2022-07-10,7,0
2022-07-17,7,0
2022-07-24,6,0
2022-07-31,6,0
2022-08-07,6,0
2022-08-14,5,0
2022-08-21,6,0
2022-08-28,6,0
2022-09-04,5,<1
2022-09-11,5,0
2022-09-18,5,<1
2022-09-25,5,0
2022-10-02,5,0
2022-10-09,5,0
2022-10-16,5,0
2022-10-23,5,0
2022-10-30,5,<1
2022-11-06,4,0
2022-11-13,5,0
2022-11-20,4,0
2022-11-27,4,1
2022-12-04,4,19
2022-12-11,8,25
2022-12-18,6,16
2022-12-25,4,14
2023-01-01,4,22
2023-01-08,4,34
2023-01-15,4,41
2023-01-22,4,50
2023-01-29,4,62
2023-02-05,4,71
2023-02-12,4,77
2023-02-19,4,72
2023-02-26,4,71
2023-03-05,4,69
2023-03-12,3,80
2023-03-19,3,90
2023-03-26,4,100
2023-04-02,3,92
2023-04-09,3,95
