T05,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),"191,446,828",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),"220,983,187",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),"247,958,644",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),"15,097,633",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)","2,343,919",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),"40,518,150",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),"57,959,702",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (number),"280,598,105",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2020,International migrant stock: Both sexes (% total population),3.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2020,International migrant stock: Male (% total Population),3.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2020,International migrant stock: Female (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
1,"Total, all countries or areas",2020,Total refugees and people in refugee-like situations (number),"20,677,233",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2020,"Asylum seekers, including pending cases (number)","4,177,842",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2020,Other of concern to UNHCR (number),"58,976,407","Including Venezuelans displaced abroad.;Exclude 1122390 Stateless persons of Rohingya ethnicity in Bangladesh, India, Indonesia, Malaysia, Myanmar, Nepal, Pakistan, Sri Lanka, and Thailand.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2020,Total population of concern to UNHCR (number),"83,831,482",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2021,Total refugees and people in refugee-like situations (number),"20,835,359",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2021,"Asylum seekers, including pending cases (number)","4,410,310",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2021,Other of concern to UNHCR (number),"68,571,892",Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
1,"Total, all countries or areas",2021,Total population of concern to UNHCR (number),"92,583,453",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2005,International migrant stock: Both sexes (number),"16,040,087",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2005,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2005,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2010,International migrant stock: Both sexes (number),"17,806,677",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2010,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2010,International migrant stock: Female (% total Population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2015,International migrant stock: Both sexes (number),"22,860,792",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2015,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2015,Total refugees and people in refugee-like situations (number),"4,493,139",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2015,"Asylum seekers, including pending cases (number)","1,044,031",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2015,Other of concern to UNHCR (number),"11,530,138",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2015,Total population of concern to UNHCR (number),"17,067,308",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2020,International migrant stock: Both sexes (number),"25,389,464",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2020,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
2,Africa,2020,Total refugees and people in refugee-like situations (number),"6,999,300",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2020,"Asylum seekers, including pending cases (number)","617,584",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2020,Other of concern to UNHCR (number),"24,919,267",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2020,Total population of concern to UNHCR (number),"32,536,151",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2021,Total refugees and people in refugee-like situations (number),"7,218,448",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2021,"Asylum seekers, including pending cases (number)","650,278",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2021,Other of concern to UNHCR (number),"29,196,562",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
2,Africa,2021,Total population of concern to UNHCR (number),"37,064,516",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
15,Northern Africa,2005,International migrant stock: Both sexes (number),"1,749,718",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2010,International migrant stock: Both sexes (number),"1,952,040",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2010,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2015,International migrant stock: Both sexes (number),"2,138,918",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2015,International migrant stock: Both sexes (% total population),1.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2020,International migrant stock: Both sexes (number),"3,167,926",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
15,Northern Africa,2020,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (number),"14,290,369",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2005,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
